Gene.ID,Cluster
HORVU.MOREX.r3.1HG0032760,Cluster 2
HORVU.MOREX.r3.1HG0033390,Cluster 2
HORVU.MOREX.r3.1HG0034560,Cluster 2
HORVU.MOREX.r3.1HG0035140,Cluster 2
HORVU.MOREX.r3.1HG0036330,Cluster 2
HORVU.MOREX.r3.1HG0036370,Cluster 2
HORVU.MOREX.r3.1HG0037500,Cluster 2
HORVU.MOREX.r3.1HG0037780,Cluster 2
HORVU.MOREX.r3.1HG0037800,Cluster 2
HORVU.MOREX.r3.1HG0038620,Cluster 2
HORVU.MOREX.r3.1HG0038630,Cluster 2
HORVU.MOREX.r3.1HG0038930,Cluster 2
HORVU.MOREX.r3.1HG0039160,Cluster 2
HORVU.MOREX.r3.1HG0039860,Cluster 2
HORVU.MOREX.r3.1HG0040000,Cluster 2
HORVU.MOREX.r3.1HG0040100,Cluster 2
HORVU.MOREX.r3.1HG0040570,Cluster 2
HORVU.MOREX.r3.1HG0040610,Cluster 2
HORVU.MOREX.r3.1HG0040900,Cluster 2
HORVU.MOREX.r3.1HG0041230,Cluster 2
HORVU.MOREX.r3.1HG0041280,Cluster 2
HORVU.MOREX.r3.1HG0041630,Cluster 2
HORVU.MOREX.r3.1HG0042060,Cluster 2
HORVU.MOREX.r3.1HG0042100,Cluster 2
HORVU.MOREX.r3.1HG0044100,Cluster 2
HORVU.MOREX.r3.1HG0044370,Cluster 2
HORVU.MOREX.r3.1HG0045540,Cluster 2
HORVU.MOREX.r3.1HG0046030,Cluster 2
HORVU.MOREX.r3.1HG0046230,Cluster 2
HORVU.MOREX.r3.1HG0046650,Cluster 2
HORVU.MOREX.r3.1HG0046900,Cluster 2
HORVU.MOREX.r3.1HG0047110,Cluster 2
HORVU.MOREX.r3.1HG0047480,Cluster 2
HORVU.MOREX.r3.1HG0047710,Cluster 2
HORVU.MOREX.r3.1HG0048010,Cluster 2
HORVU.MOREX.r3.1HG0048040,Cluster 2
HORVU.MOREX.r3.1HG0048080,Cluster 2
HORVU.MOREX.r3.1HG0048090,Cluster 2
HORVU.MOREX.r3.1HG0048880,Cluster 2
HORVU.MOREX.r3.1HG0048990,Cluster 2
HORVU.MOREX.r3.1HG0049620,Cluster 2
HORVU.MOREX.r3.1HG0050080,Cluster 2
HORVU.MOREX.r3.1HG0050110,Cluster 2
HORVU.MOREX.r3.1HG0050880,Cluster 2
HORVU.MOREX.r3.1HG0051020,Cluster 2
HORVU.MOREX.r3.1HG0051380,Cluster 2
HORVU.MOREX.r3.1HG0051670,Cluster 2
HORVU.MOREX.r3.1HG0052080,Cluster 2
HORVU.MOREX.r3.1HG0052400,Cluster 2
HORVU.MOREX.r3.1HG0052510,Cluster 2
HORVU.MOREX.r3.1HG0052700,Cluster 2
HORVU.MOREX.r3.1HG0052800,Cluster 2
HORVU.MOREX.r3.1HG0052980,Cluster 2
HORVU.MOREX.r3.1HG0053060,Cluster 2
HORVU.MOREX.r3.1HG0053260,Cluster 2
HORVU.MOREX.r3.1HG0053670,Cluster 2
HORVU.MOREX.r3.1HG0053890,Cluster 2
HORVU.MOREX.r3.1HG0053910,Cluster 2
HORVU.MOREX.r3.1HG0054530,Cluster 2
HORVU.MOREX.r3.1HG0055030,Cluster 2
HORVU.MOREX.r3.1HG0055040,Cluster 2
HORVU.MOREX.r3.1HG0055360,Cluster 2
HORVU.MOREX.r3.1HG0055720,Cluster 2
HORVU.MOREX.r3.1HG0055960,Cluster 2
HORVU.MOREX.r3.1HG0056230,Cluster 2
HORVU.MOREX.r3.1HG0056410,Cluster 2
HORVU.MOREX.r3.1HG0056440,Cluster 2
HORVU.MOREX.r3.1HG0056640,Cluster 2
HORVU.MOREX.r3.1HG0056980,Cluster 2
HORVU.MOREX.r3.1HG0057010,Cluster 2
HORVU.MOREX.r3.1HG0057410,Cluster 2
HORVU.MOREX.r3.1HG0057870,Cluster 2
HORVU.MOREX.r3.1HG0058170,Cluster 2
HORVU.MOREX.r3.1HG0058180,Cluster 2
