Gene.ID,Cluster
HORVU.MOREX.r3.3HG0291580,Cluster 2
HORVU.MOREX.r3.3HG0291820,Cluster 2
HORVU.MOREX.r3.3HG0291840,Cluster 2
HORVU.MOREX.r3.3HG0292240,Cluster 2
HORVU.MOREX.r3.3HG0292270,Cluster 2
HORVU.MOREX.r3.3HG0292540,Cluster 2
HORVU.MOREX.r3.3HG0292630,Cluster 2
HORVU.MOREX.r3.3HG0292850,Cluster 2
HORVU.MOREX.r3.3HG0293400,Cluster 2
HORVU.MOREX.r3.3HG0293660,Cluster 2
HORVU.MOREX.r3.3HG0293900,Cluster 2
HORVU.MOREX.r3.3HG0293940,Cluster 2
HORVU.MOREX.r3.3HG0293970,Cluster 2
HORVU.MOREX.r3.3HG0294190,Cluster 2
HORVU.MOREX.r3.3HG0294300,Cluster 2
HORVU.MOREX.r3.3HG0294430,Cluster 2
HORVU.MOREX.r3.3HG0294550,Cluster 2
HORVU.MOREX.r3.3HG0294690,Cluster 2
HORVU.MOREX.r3.3HG0294830,Cluster 2
HORVU.MOREX.r3.3HG0294880,Cluster 2
HORVU.MOREX.r3.3HG0294930,Cluster 2
HORVU.MOREX.r3.3HG0295100,Cluster 2
HORVU.MOREX.r3.3HG0295140,Cluster 2
HORVU.MOREX.r3.3HG0295370,Cluster 2
HORVU.MOREX.r3.3HG0295480,Cluster 2
HORVU.MOREX.r3.3HG0295520,Cluster 2
HORVU.MOREX.r3.3HG0295580,Cluster 2
HORVU.MOREX.r3.3HG0295670,Cluster 2
HORVU.MOREX.r3.3HG0295690,Cluster 2
HORVU.MOREX.r3.3HG0295830,Cluster 2
HORVU.MOREX.r3.3HG0295850,Cluster 2
HORVU.MOREX.r3.3HG0295880,Cluster 2
HORVU.MOREX.r3.3HG0296140,Cluster 2
HORVU.MOREX.r3.3HG0296330,Cluster 2
HORVU.MOREX.r3.3HG0296440,Cluster 2
HORVU.MOREX.r3.3HG0296480,Cluster 2
HORVU.MOREX.r3.3HG0296990,Cluster 2
HORVU.MOREX.r3.3HG0297000,Cluster 2
HORVU.MOREX.r3.3HG0297680,Cluster 2
HORVU.MOREX.r3.3HG0297720,Cluster 2
HORVU.MOREX.r3.3HG0297740,Cluster 2
HORVU.MOREX.r3.3HG0297850,Cluster 2
HORVU.MOREX.r3.3HG0297900,Cluster 2
HORVU.MOREX.r3.3HG0297960,Cluster 2
HORVU.MOREX.r3.3HG0298030,Cluster 2
HORVU.MOREX.r3.3HG0298090,Cluster 2
HORVU.MOREX.r3.3HG0298120,Cluster 2
HORVU.MOREX.r3.3HG0298200,Cluster 2
HORVU.MOREX.r3.3HG0298210,Cluster 2
HORVU.MOREX.r3.3HG0298280,Cluster 2
HORVU.MOREX.r3.3HG0298330,Cluster 2
HORVU.MOREX.r3.3HG0298520,Cluster 2
HORVU.MOREX.r3.3HG0298700,Cluster 2
HORVU.MOREX.r3.3HG0298710,Cluster 2
HORVU.MOREX.r3.3HG0298790,Cluster 2
HORVU.MOREX.r3.3HG0298980,Cluster 2
HORVU.MOREX.r3.3HG0299110,Cluster 2
HORVU.MOREX.r3.3HG0299150,Cluster 2
HORVU.MOREX.r3.3HG0299300,Cluster 2
HORVU.MOREX.r3.3HG0299370,Cluster 2
HORVU.MOREX.r3.3HG0299800,Cluster 2
HORVU.MOREX.r3.3HG0299830,Cluster 2
HORVU.MOREX.r3.3HG0299950,Cluster 2
HORVU.MOREX.r3.3HG0300330,Cluster 2
HORVU.MOREX.r3.3HG0300580,Cluster 2
HORVU.MOREX.r3.3HG0300700,Cluster 2
HORVU.MOREX.r3.3HG0300820,Cluster 2
HORVU.MOREX.r3.3HG0300960,Cluster 2
HORVU.MOREX.r3.3HG0300970,Cluster 2
HORVU.MOREX.r3.3HG0301030,Cluster 2
HORVU.MOREX.r3.3HG0301430,Cluster 2
HORVU.MOREX.r3.3HG0301530,Cluster 2
HORVU.MOREX.r3.3HG0301550,Cluster 2
HORVU.MOREX.r3.3HG0301710,Cluster 2
HORVU.MOREX.r3.3HG0301750,Cluster 2
HORVU.MOREX.r3.3HG0301790,Cluster 2
HORVU.MOREX.r3.3HG0301800,Cluster 2
HORVU.MOREX.r3.3HG0301810,Cluster 2
HORVU.MOREX.r3.3HG0301850,Cluster 2
HORVU.MOREX.r3.3HG0301890,Cluster 2
HORVU.MOREX.r3.3HG0301920,Cluster 2
HORVU.MOREX.r3.3HG0301990,Cluster 2
HORVU.MOREX.r3.3HG0302020,Cluster 2
HORVU.MOREX.r3.3HG0302040,Cluster 2
HORVU.MOREX.r3.3HG0302050,Cluster 2
HORVU.MOREX.r3.3HG0302060,Cluster 2
HORVU.MOREX.r3.3HG0302180,Cluster 2
HORVU.MOREX.r3.3HG0302280,Cluster 2
HORVU.MOREX.r3.3HG0302390,Cluster 2
HORVU.MOREX.r3.3HG0302520,Cluster 2
HORVU.MOREX.r3.3HG0302570,Cluster 2
HORVU.MOREX.r3.3HG0302680,Cluster 2
HORVU.MOREX.r3.3HG0302790,Cluster 2
HORVU.MOREX.r3.3HG0303170,Cluster 2
HORVU.MOREX.r3.3HG0303240,Cluster 2
HORVU.MOREX.r3.3HG0303410,Cluster 2
HORVU.MOREX.r3.3HG0303750,Cluster 2
HORVU.MOREX.r3.3HG0303880,Cluster 2
HORVU.MOREX.r3.3HG0303900,Cluster 2
HORVU.MOREX.r3.3HG0303920,Cluster 2
HORVU.MOREX.r3.3HG0304110,Cluster 2
HORVU.MOREX.r3.3HG0304210,Cluster 2
HORVU.MOREX.r3.3HG0304230,Cluster 2
HORVU.MOREX.r3.3HG0304310,Cluster 2
HORVU.MOREX.r3.3HG0304490,Cluster 2
HORVU.MOREX.r3.3HG0304500,Cluster 2
HORVU.MOREX.r3.3HG0304630,Cluster 2
HORVU.MOREX.r3.3HG0304660,Cluster 2
HORVU.MOREX.r3.3HG0304970,Cluster 2
HORVU.MOREX.r3.3HG0305180,Cluster 2
HORVU.MOREX.r3.3HG0305240,Cluster 2
HORVU.MOREX.r3.3HG0305400,Cluster 2
HORVU.MOREX.r3.3HG0305410,Cluster 2
HORVU.MOREX.r3.3HG0305440,Cluster 2
HORVU.MOREX.r3.3HG0305520,Cluster 2
HORVU.MOREX.r3.3HG0305530,Cluster 2
HORVU.MOREX.r3.3HG0305600,Cluster 2
HORVU.MOREX.r3.3HG0305640,Cluster 2
HORVU.MOREX.r3.3HG0305770,Cluster 2
HORVU.MOREX.r3.3HG0305790,Cluster 2
HORVU.MOREX.r3.3HG0305800,Cluster 2
HORVU.MOREX.r3.3HG0305820,Cluster 2
HORVU.MOREX.r3.3HG0306030,Cluster 2
HORVU.MOREX.r3.3HG0306130,Cluster 2
HORVU.MOREX.r3.3HG0306150,Cluster 2
HORVU.MOREX.r3.3HG0306440,Cluster 2
HORVU.MOREX.r3.3HG0306600,Cluster 2
HORVU.MOREX.r3.3HG0306990,Cluster 2
HORVU.MOREX.r3.3HG0307010,Cluster 2
HORVU.MOREX.r3.3HG0307120,Cluster 2
HORVU.MOREX.r3.3HG0307140,Cluster 2
HORVU.MOREX.r3.3HG0307170,Cluster 2
HORVU.MOREX.r3.3HG0307250,Cluster 2
HORVU.MOREX.r3.3HG0307290,Cluster 2
HORVU.MOREX.r3.3HG0307400,Cluster 2
HORVU.MOREX.r3.3HG0307410,Cluster 2
HORVU.MOREX.r3.3HG0307870,Cluster 2
HORVU.MOREX.r3.3HG0308530,Cluster 2
HORVU.MOREX.r3.3HG0308580,Cluster 2
HORVU.MOREX.r3.3HG0308590,Cluster 2
HORVU.MOREX.r3.3HG0309090,Cluster 2
HORVU.MOREX.r3.3HG0309130,Cluster 2
HORVU.MOREX.r3.3HG0309300,Cluster 2
HORVU.MOREX.r3.3HG0309530,Cluster 2
HORVU.MOREX.r3.3HG0309580,Cluster 2
HORVU.MOREX.r3.3HG0309650,Cluster 2
HORVU.MOREX.r3.3HG0309890,Cluster 2
HORVU.MOREX.r3.3HG0310140,Cluster 2
HORVU.MOREX.r3.3HG0310150,Cluster 2
HORVU.MOREX.r3.3HG0310400,Cluster 2
HORVU.MOREX.r3.3HG0310440,Cluster 2
HORVU.MOREX.r3.3HG0310530,Cluster 2
HORVU.MOREX.r3.3HG0310690,Cluster 2
HORVU.MOREX.r3.3HG0311460,Cluster 2
HORVU.MOREX.r3.3HG0311630,Cluster 2
HORVU.MOREX.r3.3HG0311640,Cluster 2
HORVU.MOREX.r3.3HG0312030,Cluster 2
HORVU.MOREX.r3.3HG0312460,Cluster 2
HORVU.MOREX.r3.3HG0312490,Cluster 2
HORVU.MOREX.r3.3HG0312750,Cluster 2
HORVU.MOREX.r3.3HG0312760,Cluster 2
HORVU.MOREX.r3.3HG0313080,Cluster 2
HORVU.MOREX.r3.3HG0313110,Cluster 2
HORVU.MOREX.r3.3HG0313120,Cluster 2
HORVU.MOREX.r3.3HG0313430,Cluster 2
HORVU.MOREX.r3.3HG0314170,Cluster 2
HORVU.MOREX.r3.3HG0314220,Cluster 2
HORVU.MOREX.r3.3HG0315180,Cluster 2
HORVU.MOREX.r3.3HG0316280,Cluster 2
HORVU.MOREX.r3.3HG0317300,Cluster 2
HORVU.MOREX.r3.3HG0318620,Cluster 2
HORVU.MOREX.r3.3HG0319270,Cluster 2
HORVU.MOREX.r3.3HG0319320,Cluster 2
HORVU.MOREX.r3.3HG0319360,Cluster 2
HORVU.MOREX.r3.3HG0319500,Cluster 2
HORVU.MOREX.r3.3HG0319710,Cluster 2
HORVU.MOREX.r3.3HG0319810,Cluster 2
HORVU.MOREX.r3.3HG0319830,Cluster 2
HORVU.MOREX.r3.3HG0319950,Cluster 2
HORVU.MOREX.r3.3HG0320350,Cluster 2
HORVU.MOREX.r3.3HG0320600,Cluster 2
HORVU.MOREX.r3.3HG0320950,Cluster 2
HORVU.MOREX.r3.3HG0321330,Cluster 2
HORVU.MOREX.r3.3HG0321700,Cluster 2
HORVU.MOREX.r3.3HG0321860,Cluster 2
HORVU.MOREX.r3.3HG0322270,Cluster 2
HORVU.MOREX.r3.3HG0322650,Cluster 2
HORVU.MOREX.r3.3HG0323000,Cluster 2
HORVU.MOREX.r3.3HG0323270,Cluster 2
HORVU.MOREX.r3.3HG0323610,Cluster 2
HORVU.MOREX.r3.3HG0323940,Cluster 2
HORVU.MOREX.r3.3HG0324150,Cluster 2
HORVU.MOREX.r3.3HG0325150,Cluster 2
HORVU.MOREX.r3.3HG0325380,Cluster 2
HORVU.MOREX.r3.3HG0325410,Cluster 2
HORVU.MOREX.r3.3HG0326090,Cluster 2
HORVU.MOREX.r3.3HG0326200,Cluster 2
HORVU.MOREX.r3.3HG0326690,Cluster 2
HORVU.MOREX.r3.3HG0326700,Cluster 2
HORVU.MOREX.r3.3HG0326900,Cluster 2
HORVU.MOREX.r3.3HG0327120,Cluster 2
HORVU.MOREX.r3.3HG0327190,Cluster 2
HORVU.MOREX.r3.3HG0327790,Cluster 2
HORVU.MOREX.r3.3HG0327830,Cluster 2
HORVU.MOREX.r3.3HG0327840,Cluster 2
HORVU.MOREX.r3.3HG0327850,Cluster 2
HORVU.MOREX.r3.3HG0328960,Cluster 2
HORVU.MOREX.r3.3HG0329040,Cluster 2
HORVU.MOREX.r3.3HG0329300,Cluster 2
HORVU.MOREX.r3.3HG0329540,Cluster 2
HORVU.MOREX.r3.3HG0329760,Cluster 2
HORVU.MOREX.r3.3HG0329940,Cluster 2
HORVU.MOREX.r3.3HG0330040,Cluster 2
HORVU.MOREX.r3.3HG0330120,Cluster 2
HORVU.MOREX.r3.3HG0330150,Cluster 2
HORVU.MOREX.r3.3HG0330430,Cluster 2
HORVU.MOREX.r3.3HG0330940,Cluster 2
HORVU.MOREX.r3.3HG0330950,Cluster 2
HORVU.MOREX.r3.4HG0331300,Cluster 2
HORVU.MOREX.r3.4HG0331420,Cluster 2
HORVU.MOREX.r3.4HG0331460,Cluster 2
HORVU.MOREX.r3.4HG0331630,Cluster 2
HORVU.MOREX.r3.4HG0331640,Cluster 2
HORVU.MOREX.r3.4HG0331680,Cluster 2
HORVU.MOREX.r3.4HG0331920,Cluster 2
HORVU.MOREX.r3.4HG0331930,Cluster 2
HORVU.MOREX.r3.4HG0332050,Cluster 2
HORVU.MOREX.r3.4HG0332220,Cluster 2
HORVU.MOREX.r3.4HG0332840,Cluster 2
HORVU.MOREX.r3.4HG0332970,Cluster 2
HORVU.MOREX.r3.4HG0333040,Cluster 2
HORVU.MOREX.r3.4HG0333050,Cluster 2
HORVU.MOREX.r3.4HG0333180,Cluster 2
HORVU.MOREX.r3.4HG0333190,Cluster 2
HORVU.MOREX.r3.4HG0333220,Cluster 2
HORVU.MOREX.r3.4HG0333270,Cluster 2
HORVU.MOREX.r3.4HG0333400,Cluster 2
HORVU.MOREX.r3.4HG0333450,Cluster 2
HORVU.MOREX.r3.4HG0333530,Cluster 2
HORVU.MOREX.r3.4HG0333540,Cluster 2
HORVU.MOREX.r3.4HG0333550,Cluster 2
HORVU.MOREX.r3.4HG0333590,Cluster 2
HORVU.MOREX.r3.4HG0333910,Cluster 2
HORVU.MOREX.r3.4HG0334210,Cluster 2
HORVU.MOREX.r3.4HG0334570,Cluster 2
HORVU.MOREX.r3.4HG0334630,Cluster 2
HORVU.MOREX.r3.4HG0334900,Cluster 2
HORVU.MOREX.r3.4HG0334930,Cluster 2
HORVU.MOREX.r3.4HG0334970,Cluster 2
HORVU.MOREX.r3.4HG0335300,Cluster 2
HORVU.MOREX.r3.4HG0335410,Cluster 2
HORVU.MOREX.r3.4HG0335750,Cluster 2
HORVU.MOREX.r3.4HG0335800,Cluster 2
HORVU.MOREX.r3.4HG0336030,Cluster 2
HORVU.MOREX.r3.4HG0336060,Cluster 2
HORVU.MOREX.r3.4HG0336230,Cluster 2
HORVU.MOREX.r3.4HG0336400,Cluster 2
HORVU.MOREX.r3.4HG0336420,Cluster 2
HORVU.MOREX.r3.4HG0336430,Cluster 2
HORVU.MOREX.r3.4HG0336660,Cluster 2
HORVU.MOREX.r3.4HG0336820,Cluster 2
HORVU.MOREX.r3.4HG0336840,Cluster 2
HORVU.MOREX.r3.4HG0337030,Cluster 2
HORVU.MOREX.r3.4HG0337070,Cluster 2
HORVU.MOREX.r3.4HG0337270,Cluster 2
HORVU.MOREX.r3.4HG0337590,Cluster 2
HORVU.MOREX.r3.4HG0338190,Cluster 2
HORVU.MOREX.r3.4HG0338600,Cluster 2
HORVU.MOREX.r3.4HG0338760,Cluster 2
HORVU.MOREX.r3.4HG0338800,Cluster 2
HORVU.MOREX.r3.4HG0339280,Cluster 2
HORVU.MOREX.r3.4HG0339290,Cluster 2
HORVU.MOREX.r3.4HG0339590,Cluster 2
HORVU.MOREX.r3.4HG0339670,Cluster 2
HORVU.MOREX.r3.4HG0339810,Cluster 2
HORVU.MOREX.r3.4HG0339820,Cluster 2
HORVU.MOREX.r3.4HG0339890,Cluster 2
HORVU.MOREX.r3.4HG0340230,Cluster 2
HORVU.MOREX.r3.4HG0340370,Cluster 2
HORVU.MOREX.r3.4HG0340410,Cluster 2
HORVU.MOREX.r3.4HG0340430,Cluster 2
HORVU.MOREX.r3.4HG0340820,Cluster 2
HORVU.MOREX.r3.4HG0340900,Cluster 2
HORVU.MOREX.r3.4HG0340910,Cluster 2
HORVU.MOREX.r3.4HG0341070,Cluster 2
HORVU.MOREX.r3.4HG0341160,Cluster 2
HORVU.MOREX.r3.4HG0341330,Cluster 2
HORVU.MOREX.r3.4HG0341440,Cluster 2
HORVU.MOREX.r3.4HG0341490,Cluster 2
HORVU.MOREX.r3.4HG0341530,Cluster 2
HORVU.MOREX.r3.4HG0341870,Cluster 2
HORVU.MOREX.r3.4HG0341950,Cluster 2
HORVU.MOREX.r3.4HG0342080,Cluster 2
HORVU.MOREX.r3.4HG0342480,Cluster 2
HORVU.MOREX.r3.4HG0342760,Cluster 2
HORVU.MOREX.r3.4HG0342860,Cluster 2
HORVU.MOREX.r3.4HG0342880,Cluster 2
HORVU.MOREX.r3.4HG0342970,Cluster 2
HORVU.MOREX.r3.4HG0342980,Cluster 2
HORVU.MOREX.r3.4HG0343130,Cluster 2
HORVU.MOREX.r3.4HG0343260,Cluster 2
HORVU.MOREX.r3.4HG0343300,Cluster 2
HORVU.MOREX.r3.4HG0343320,Cluster 2
HORVU.MOREX.r3.4HG0343330,Cluster 2
HORVU.MOREX.r3.4HG0343380,Cluster 2
HORVU.MOREX.r3.4HG0343670,Cluster 2
HORVU.MOREX.r3.4HG0344050,Cluster 2
HORVU.MOREX.r3.4HG0344130,Cluster 2
HORVU.MOREX.r3.4HG0344270,Cluster 2
HORVU.MOREX.r3.4HG0344400,Cluster 2
HORVU.MOREX.r3.4HG0344730,Cluster 2
HORVU.MOREX.r3.4HG0344950,Cluster 2
HORVU.MOREX.r3.4HG0344990,Cluster 2
HORVU.MOREX.r3.4HG0345140,Cluster 2
HORVU.MOREX.r3.4HG0345230,Cluster 2
HORVU.MOREX.r3.4HG0345250,Cluster 2
HORVU.MOREX.r3.4HG0345260,Cluster 2
HORVU.MOREX.r3.4HG0345490,Cluster 2
HORVU.MOREX.r3.4HG0345600,Cluster 2
HORVU.MOREX.r3.4HG0345760,Cluster 2
HORVU.MOREX.r3.4HG0346520,Cluster 2
HORVU.MOREX.r3.4HG0346530,Cluster 2
HORVU.MOREX.r3.4HG0346770,Cluster 2
HORVU.MOREX.r3.4HG0347060,Cluster 2
HORVU.MOREX.r3.4HG0347310,Cluster 2
HORVU.MOREX.r3.4HG0347420,Cluster 2
HORVU.MOREX.r3.4HG0347570,Cluster 2
HORVU.MOREX.r3.4HG0347650,Cluster 2
HORVU.MOREX.r3.4HG0347790,Cluster 2
HORVU.MOREX.r3.4HG0347840,Cluster 2
HORVU.MOREX.r3.4HG0348190,Cluster 2
HORVU.MOREX.r3.4HG0348850,Cluster 2
HORVU.MOREX.r3.4HG0349000,Cluster 2
HORVU.MOREX.r3.4HG0349070,Cluster 2
HORVU.MOREX.r3.4HG0349400,Cluster 2
HORVU.MOREX.r3.4HG0349780,Cluster 2
HORVU.MOREX.r3.4HG0349800,Cluster 2
HORVU.MOREX.r3.4HG0350850,Cluster 2
HORVU.MOREX.r3.4HG0350900,Cluster 2
HORVU.MOREX.r3.4HG0351050,Cluster 2
HORVU.MOREX.r3.4HG0351450,Cluster 2
HORVU.MOREX.r3.4HG0351560,Cluster 2
HORVU.MOREX.r3.4HG0352200,Cluster 2
HORVU.MOREX.r3.4HG0352590,Cluster 2
HORVU.MOREX.r3.4HG0352710,Cluster 2
HORVU.MOREX.r3.4HG0352790,Cluster 2
HORVU.MOREX.r3.4HG0353020,Cluster 2
HORVU.MOREX.r3.4HG0353220,Cluster 2
HORVU.MOREX.r3.4HG0353710,Cluster 2
HORVU.MOREX.r3.4HG0354570,Cluster 2
HORVU.MOREX.r3.4HG0354780,Cluster 2
HORVU.MOREX.r3.4HG0355420,Cluster 2
HORVU.MOREX.r3.4HG0355430,Cluster 2
HORVU.MOREX.r3.4HG0355650,Cluster 2
HORVU.MOREX.r3.4HG0356120,Cluster 2
HORVU.MOREX.r3.4HG0356740,Cluster 2
HORVU.MOREX.r3.4HG0357240,Cluster 2
HORVU.MOREX.r3.4HG0357430,Cluster 2
HORVU.MOREX.r3.4HG0357650,Cluster 2
HORVU.MOREX.r3.4HG0358300,Cluster 2
HORVU.MOREX.r3.4HG0358620,Cluster 2
HORVU.MOREX.r3.4HG0358770,Cluster 2
HORVU.MOREX.r3.4HG0360060,Cluster 2
HORVU.MOREX.r3.4HG0360670,Cluster 2
HORVU.MOREX.r3.4HG0362920,Cluster 2
HORVU.MOREX.r3.4HG0363040,Cluster 2
HORVU.MOREX.r3.4HG0363150,Cluster 2
HORVU.MOREX.r3.4HG0363820,Cluster 2
HORVU.MOREX.r3.4HG0364420,Cluster 2
HORVU.MOREX.r3.4HG0364440,Cluster 2
HORVU.MOREX.r3.4HG0365000,Cluster 2
HORVU.MOREX.r3.4HG0365270,Cluster 2
HORVU.MOREX.r3.4HG0366920,Cluster 2
HORVU.MOREX.r3.4HG0370520,Cluster 2
HORVU.MOREX.r3.4HG0370650,Cluster 2
HORVU.MOREX.r3.4HG0371500,Cluster 2
HORVU.MOREX.r3.4HG0371680,Cluster 2
HORVU.MOREX.r3.4HG0374390,Cluster 2
HORVU.MOREX.r3.4HG0374480,Cluster 2
HORVU.MOREX.r3.4HG0375670,Cluster 2
HORVU.MOREX.r3.4HG0376960,Cluster 2
HORVU.MOREX.r3.4HG0377080,Cluster 2
HORVU.MOREX.r3.4HG0377630,Cluster 2
HORVU.MOREX.r3.4HG0377950,Cluster 2
HORVU.MOREX.r3.4HG0378610,Cluster 2
HORVU.MOREX.r3.4HG0378860,Cluster 2
HORVU.MOREX.r3.4HG0378980,Cluster 2
HORVU.MOREX.r3.4HG0379270,Cluster 2
HORVU.MOREX.r3.4HG0379640,Cluster 2
HORVU.MOREX.r3.4HG0380210,Cluster 2
HORVU.MOREX.r3.4HG0380540,Cluster 2
HORVU.MOREX.r3.4HG0380710,Cluster 2
HORVU.MOREX.r3.4HG0380730,Cluster 2
HORVU.MOREX.r3.4HG0380820,Cluster 2
HORVU.MOREX.r3.4HG0380970,Cluster 2
HORVU.MOREX.r3.4HG0381360,Cluster 2
HORVU.MOREX.r3.4HG0381740,Cluster 2
HORVU.MOREX.r3.4HG0381970,Cluster 2
HORVU.MOREX.r3.4HG0381990,Cluster 2
HORVU.MOREX.r3.4HG0382450,Cluster 2
HORVU.MOREX.r3.4HG0382520,Cluster 2
HORVU.MOREX.r3.4HG0382660,Cluster 2
HORVU.MOREX.r3.4HG0382730,Cluster 2
HORVU.MOREX.r3.4HG0383170,Cluster 2
HORVU.MOREX.r3.4HG0383280,Cluster 2
HORVU.MOREX.r3.4HG0383540,Cluster 2
HORVU.MOREX.r3.4HG0384360,Cluster 2
HORVU.MOREX.r3.4HG0384390,Cluster 2
HORVU.MOREX.r3.4HG0384580,Cluster 2
HORVU.MOREX.r3.4HG0384780,Cluster 2
HORVU.MOREX.r3.4HG0385170,Cluster 2
HORVU.MOREX.r3.4HG0385670,Cluster 2
HORVU.MOREX.r3.4HG0385790,Cluster 2
HORVU.MOREX.r3.4HG0386780,Cluster 2
HORVU.MOREX.r3.4HG0386880,Cluster 2
HORVU.MOREX.r3.4HG0386930,Cluster 2
HORVU.MOREX.r3.4HG0387270,Cluster 2
HORVU.MOREX.r3.4HG0387290,Cluster 2
HORVU.MOREX.r3.4HG0387540,Cluster 2
HORVU.MOREX.r3.4HG0387850,Cluster 2
HORVU.MOREX.r3.4HG0388460,Cluster 2
HORVU.MOREX.r3.4HG0388470,Cluster 2
HORVU.MOREX.r3.4HG0388540,Cluster 2
HORVU.MOREX.r3.4HG0388780,Cluster 2
HORVU.MOREX.r3.4HG0388940,Cluster 2
HORVU.MOREX.r3.4HG0389060,Cluster 2
HORVU.MOREX.r3.4HG0389120,Cluster 2
HORVU.MOREX.r3.4HG0389200,Cluster 2
HORVU.MOREX.r3.4HG0389240,Cluster 2
HORVU.MOREX.r3.4HG0389260,Cluster 2
HORVU.MOREX.r3.4HG0389340,Cluster 2
HORVU.MOREX.r3.4HG0389380,Cluster 2
HORVU.MOREX.r3.4HG0389480,Cluster 2
HORVU.MOREX.r3.4HG0389490,Cluster 2
HORVU.MOREX.r3.4HG0389540,Cluster 2
HORVU.MOREX.r3.4HG0390240,Cluster 2
HORVU.MOREX.r3.4HG0390380,Cluster 2
HORVU.MOREX.r3.4HG0390400,Cluster 2
HORVU.MOREX.r3.4HG0390620,Cluster 2
HORVU.MOREX.r3.4HG0391100,Cluster 2
HORVU.MOREX.r3.4HG0391140,Cluster 2
HORVU.MOREX.r3.4HG0391170,Cluster 2
HORVU.MOREX.r3.4HG0391190,Cluster 2
HORVU.MOREX.r3.4HG0391220,Cluster 2
HORVU.MOREX.r3.4HG0391580,Cluster 2
HORVU.MOREX.r3.4HG0391600,Cluster 2
HORVU.MOREX.r3.4HG0391730,Cluster 2
HORVU.MOREX.r3.4HG0392110,Cluster 2
HORVU.MOREX.r3.4HG0392150,Cluster 2
HORVU.MOREX.r3.4HG0392430,Cluster 2
HORVU.MOREX.r3.4HG0392950,Cluster 2
HORVU.MOREX.r3.4HG0392970,Cluster 2
HORVU.MOREX.r3.4HG0393150,Cluster 2
HORVU.MOREX.r3.4HG0393260,Cluster 2
HORVU.MOREX.r3.4HG0394130,Cluster 2
HORVU.MOREX.r3.4HG0394330,Cluster 2
HORVU.MOREX.r3.4HG0394350,Cluster 2
HORVU.MOREX.r3.4HG0394460,Cluster 2
HORVU.MOREX.r3.4HG0394630,Cluster 2
HORVU.MOREX.r3.4HG0394970,Cluster 2
HORVU.MOREX.r3.4HG0395010,Cluster 2
HORVU.MOREX.r3.4HG0395220,Cluster 2
HORVU.MOREX.r3.4HG0395410,Cluster 2
HORVU.MOREX.r3.4HG0395500,Cluster 2
HORVU.MOREX.r3.4HG0395540,Cluster 2
HORVU.MOREX.r3.4HG0395590,Cluster 2
HORVU.MOREX.r3.4HG0395840,Cluster 2
HORVU.MOREX.r3.4HG0395960,Cluster 2
HORVU.MOREX.r3.4HG0395990,Cluster 2
HORVU.MOREX.r3.4HG0396020,Cluster 2
HORVU.MOREX.r3.4HG0396300,Cluster 2
HORVU.MOREX.r3.4HG0396310,Cluster 2
HORVU.MOREX.r3.4HG0396370,Cluster 2
HORVU.MOREX.r3.4HG0397510,Cluster 2
HORVU.MOREX.r3.4HG0397620,Cluster 2
HORVU.MOREX.r3.4HG0397850,Cluster 2
HORVU.MOREX.r3.4HG0398090,Cluster 2
HORVU.MOREX.r3.4HG0398550,Cluster 2
HORVU.MOREX.r3.4HG0398610,Cluster 2
HORVU.MOREX.r3.4HG0398810,Cluster 2
HORVU.MOREX.r3.4HG0399210,Cluster 2
HORVU.MOREX.r3.4HG0399320,Cluster 2
HORVU.MOREX.r3.4HG0399620,Cluster 2
HORVU.MOREX.r3.4HG0399660,Cluster 2
HORVU.MOREX.r3.4HG0399670,Cluster 2
HORVU.MOREX.r3.4HG0399690,Cluster 2
HORVU.MOREX.r3.4HG0399920,Cluster 2
HORVU.MOREX.r3.4HG0400090,Cluster 2
HORVU.MOREX.r3.4HG0400410,Cluster 2
HORVU.MOREX.r3.4HG0400580,Cluster 2
HORVU.MOREX.r3.4HG0400840,Cluster 2
HORVU.MOREX.r3.4HG0400870,Cluster 2
HORVU.MOREX.r3.4HG0401220,Cluster 2
HORVU.MOREX.r3.4HG0401520,Cluster 2
HORVU.MOREX.r3.4HG0401580,Cluster 2
HORVU.MOREX.r3.4HG0401620,Cluster 2
HORVU.MOREX.r3.4HG0401630,Cluster 2
HORVU.MOREX.r3.4HG0401730,Cluster 2
HORVU.MOREX.r3.4HG0401980,Cluster 2
HORVU.MOREX.r3.4HG0402070,Cluster 2
HORVU.MOREX.r3.4HG0402170,Cluster 2
HORVU.MOREX.r3.4HG0402310,Cluster 2
HORVU.MOREX.r3.4HG0402730,Cluster 2
HORVU.MOREX.r3.4HG0402900,Cluster 2
HORVU.MOREX.r3.4HG0402930,Cluster 2
HORVU.MOREX.r3.4HG0403260,Cluster 2
HORVU.MOREX.r3.4HG0403360,Cluster 2
HORVU.MOREX.r3.4HG0403400,Cluster 2
HORVU.MOREX.r3.4HG0403420,Cluster 2
HORVU.MOREX.r3.4HG0403460,Cluster 2
HORVU.MOREX.r3.4HG0403530,Cluster 2
HORVU.MOREX.r3.4HG0403620,Cluster 2
HORVU.MOREX.r3.4HG0403800,Cluster 2
HORVU.MOREX.r3.4HG0403960,Cluster 2
HORVU.MOREX.r3.4HG0404020,Cluster 2
HORVU.MOREX.r3.4HG0404530,Cluster 2
HORVU.MOREX.r3.4HG0404540,Cluster 2
HORVU.MOREX.r3.4HG0404760,Cluster 2
