Name,logFC,logCPM,pvalue,FDR
HORVU.MOREX.r3.4HG0414520,-0.462407035,4.170301769,0.119301739,0.664096125
HORVU.MOREX.r3.7HG0734910,-0.420765388,4.770013677,0.119536925,0.665122593
HORVU.MOREX.r3.6HG0547920,-0.726892945,2.120025087,0.119570701,0.665122593
HORVU.MOREX.r3.4HG0349520,0.510421665,3.702854709,0.119695305,0.665176277
HORVU.MOREX.r3.3HG0286130,-0.403747228,6.411488184,0.119697486,0.665176277
HORVU.MOREX.r3.2HG0157210,0.504942989,9.615539132,0.119707959,0.665176277
HORVU.MOREX.r3.5HG0496640,0.468624581,4.096245463,0.119815734,0.665176277
HORVU.MOREX.r3.5HG0474380,-0.491778812,3.862689891,0.119816574,0.665176277
HORVU.MOREX.r3.7HG0701980,-0.702686168,2.287448235,0.119834058,0.665176277
HORVU.MOREX.r3.6HG0592090,-0.684156023,2.417189207,0.119986524,0.66569203
HORVU.MOREX.r3.3HG0318470,-0.884995878,1.091949297,0.120011608,0.66569203
HORVU.MOREX.r3.5HG0438620,0.4831182,3.943774984,0.120107579,0.665823033
HORVU.MOREX.r3.3HG0312710,-0.687535161,2.389125448,0.120119876,0.665823033
HORVU.MOREX.r3.1HG0057820,-0.937098711,0.811882075,0.120239649,0.666024428
HORVU.MOREX.r3.4HG0355420,-0.409551055,6.688719664,0.120240886,0.666024428
HORVU.MOREX.r3.4HG0384560,0.400115112,6.2512048,0.120374316,0.666131837
HORVU.MOREX.r3.2HG0113500,-0.818348092,1.495185509,0.120402524,0.666131837
HORVU.MOREX.r3.2HG0204560,0.567438469,3.240208058,0.120407269,0.666131837
HORVU.MOREX.r3.5HG0514660,0.98295535,0.593790493,0.120429658,0.666131837
HORVU.MOREX.r3.7HG0740480,-0.405324686,5.129770067,0.120592364,0.666386905
HORVU.MOREX.r3.4HG0418700,-0.429499501,7.375270465,0.120607445,0.666386905
HORVU.MOREX.r3.2HG0182400,0.415476469,6.919412699,0.120626106,0.666386905
HORVU.MOREX.r3.5HG0446860,-0.879951562,1.116330486,0.120645217,0.666386905
HORVU.MOREX.r3.6HG0627470,0.444603341,7.848009267,0.120691525,0.666408697
HORVU.MOREX.r3.4HG0335910,0.548591646,3.379684522,0.120864037,0.66680615
HORVU.MOREX.r3.7HG0728080,-0.397942547,6.145169455,0.120924927,0.66680615
HORVU.MOREX.r3.3HG0295760,0.655857455,2.599535745,0.120958625,0.66680615
HORVU.MOREX.r3.6HG0607460,-0.403626987,5.170631544,0.120971251,0.66680615
HORVU.MOREX.r3.3HG0314010,0.39687244,5.516332856,0.120986408,0.66680615
HORVU.MOREX.r3.2HG0202760,0.960523913,0.683906466,0.121030237,0.66680615
HORVU.MOREX.r3.2HG0216930,-0.464287784,4.124506701,0.121060223,0.66680615
HORVU.MOREX.r3.3HG0267250,0.429521839,4.579916323,0.121296349,0.667872894
HORVU.MOREX.r3.5HG0522120,0.404668973,6.549357068,0.121562437,0.669103813
HORVU.MOREX.r3.5HG0524840,0.531128421,3.506362477,0.121730948,0.66979697
HORVU.MOREX.r3.2HG0135740,0.403082909,5.15828015,0.121858393,0.67026377
HORVU.MOREX.r3.7HG0730970,-0.616056514,2.87530903,0.121971011,0.670648715
HORVU.MOREX.r3.5HG0518510,-0.415452642,4.823844156,0.122025716,0.670715071
HORVU.MOREX.r3.1HG0054160,0.462683549,4.126134561,0.122118586,0.670966978
HORVU.MOREX.r3.3HG0324130,-0.781546124,1.714382164,0.122156851,0.670966978
HORVU.MOREX.r3.6HG0610740,0.439756896,4.408592685,0.122223439,0.671098402
HORVU.MOREX.r3.2HG0202120,0.52629276,3.535170865,0.122804774,0.673831264
HORVU.MOREX.r3.7HG0699350,-0.458111822,4.168863595,0.122834256,0.673831264
HORVU.MOREX.r3.4HG0406000,0.513253353,3.643827425,0.122849664,0.673831264
HORVU.MOREX.r3.4HG0336280,-0.742222796,1.970503242,0.122945301,0.674120785
HORVU.MOREX.r3.3HG0302700,0.645080573,2.654591437,0.123017804,0.674283303
HORVU.MOREX.r3.7HG0751630,-0.548225032,3.355715262,0.12307255,0.674348408
HORVU.MOREX.r3.1HG0044290,0.446745182,4.300699369,0.123168777,0.67464068
HORVU.MOREX.r3.1HG0070200,-0.686551636,2.358542645,0.123304309,0.674902874
HORVU.MOREX.r3.3HG0285830,0.55551214,3.299653088,0.12332215,0.674902874
HORVU.MOREX.r3.1HG0053960,0.394093699,6.025301526,0.123345354,0.674902874
HORVU.MOREX.r3.7HG0720840,-0.595349607,3.000653611,0.123514493,0.675441873
HORVU.MOREX.r3.7HG0683100,-0.837933366,1.32533663,0.123529736,0.675441873
HORVU.MOREX.r3.3HG0244320,-0.777827011,1.709709664,0.123695945,0.676115675
HORVU.MOREX.r3.2HG0130590,0.683757428,2.37132487,0.124030798,0.677710486
HORVU.MOREX.r3.4HG0419440,0.578620125,3.11487367,0.124159502,0.678178167
HORVU.MOREX.r3.5HG0477460,-0.798886616,1.564073319,0.124423662,0.679385151
HORVU.MOREX.r3.2HG0115850,0.761547811,1.812872557,0.124516586,0.679518274
HORVU.MOREX.r3.4HG0345600,-0.409363742,4.897912204,0.124534434,0.679518274
HORVU.MOREX.r3.1HG0059170,0.653507325,2.570178204,0.12472815,0.680339297
HORVU.MOREX.r3.4HG0353470,-0.394330886,5.393412396,0.125095475,0.682041007
HORVU.MOREX.r3.2HG0181290,-0.453316343,4.192622057,0.125126842,0.682041007
HORVU.MOREX.r3.6HG0570040,0.454846077,8.329395087,0.125214277,0.682163705
HORVU.MOREX.r3.4HG0405780,-0.531672598,3.462810969,0.12523608,0.682163705
HORVU.MOREX.r3.4HG0335410,0.580479504,3.089844215,0.125381748,0.682630807
HORVU.MOREX.r3.1HG0088480,0.541785358,3.380270936,0.125408622,0.682630807
HORVU.MOREX.r3.2HG0178400,0.391029402,5.911750451,0.125522512,0.683014404
HORVU.MOREX.r3.1HG0069870,-0.521411724,3.538160163,0.125705096,0.683617026
HORVU.MOREX.r3.5HG0495530,-0.399334402,5.142061156,0.125720174,0.683617026
HORVU.MOREX.r3.1HG0080730,0.440478955,4.338249048,0.125942811,0.684440656
HORVU.MOREX.r3.7HG0634870,-0.433769299,4.430925572,0.125958661,0.684440656
HORVU.MOREX.r3.5HG0439390,-0.67733743,2.385860114,0.126059303,0.684751002
HORVU.MOREX.r3.4HG0407730,0.403217648,5.01117052,0.126247221,0.685177002
HORVU.MOREX.r3.5HG0521840,0.752395535,1.858608995,0.126261717,0.685177002
HORVU.MOREX.r3.7HG0680410,-0.535282969,3.422331492,0.126268396,0.685177002
HORVU.MOREX.r3.2HG0111520,0.404841537,4.960574087,0.126391556,0.685608817
HORVU.MOREX.r3.3HG0219300,-0.392160496,6.159727722,0.126525899,0.685842671
HORVU.MOREX.r3.4HG0377080,-0.427531372,4.514910877,0.126552042,0.685842671
HORVU.MOREX.r3.5HG0508870,-0.412325598,4.784634825,0.126610291,0.685842671
HORVU.MOREX.r3.7HG0663950,0.389848315,5.902677422,0.126617198,0.685842671
HORVU.MOREX.r3.3HG0310150,0.406279681,6.827757265,0.126653062,0.685842671
HORVU.MOREX.r3.3HG0219200,-0.718206658,2.085995628,0.126696256,0.685842671
HORVU.MOREX.r3.4HG0393950,-0.389868088,5.951276875,0.126829618,0.686227939
HORVU.MOREX.r3.4HG0338460,0.397922077,6.49927173,0.126854672,0.686227939
HORVU.MOREX.r3.4HG0407390,-0.586449734,3.025841729,0.126945881,0.686422736
HORVU.MOREX.r3.5HG0481630,0.389548054,5.91057357,0.126977952,0.686422736
HORVU.MOREX.r3.6HG0629580,0.394279117,5.290145784,0.127057144,0.686614887
HORVU.MOREX.r3.5HG0427920,0.731330832,1.983144636,0.127162983,0.686950852
HORVU.MOREX.r3.2HG0184260,-0.389953803,6.012724626,0.127236892,0.687114157
HORVU.MOREX.r3.2HG0183890,0.39217948,6.218207585,0.127353993,0.687510521
HORVU.MOREX.r3.5HG0528470,0.577813702,3.082356951,0.127683241,0.688908777
HORVU.MOREX.r3.1HG0094770,0.836583389,1.27571676,0.127717845,0.688908777
HORVU.MOREX.r3.5HG0478250,-0.470772459,3.967028517,0.12785379,0.688908777
HORVU.MOREX.r3.4HG0412650,0.504058765,3.662955305,0.127856641,0.688908777
HORVU.MOREX.r3.5HG0519020,-0.409691562,4.809678138,0.127870419,0.688908777
HORVU.MOREX.r3.5HG0427240,-0.795807495,1.537999636,0.127900076,0.688908777
HORVU.MOREX.r3.5HG0517060,-0.531612262,3.431529712,0.127954164,0.688908777
HORVU.MOREX.r3.5HG0467390,-0.498284227,3.70934966,0.127987679,0.688908777
HORVU.MOREX.r3.5HG0495980,-0.674772204,2.388277213,0.128129545,0.688908777
HORVU.MOREX.r3.2HG0184310,-0.746986232,1.86124816,0.128154966,0.688908777
HORVU.MOREX.r3.1HG0017720,0.443680682,8.096406626,0.128249033,0.688908777
HORVU.MOREX.r3.3HG0286830,-0.389234149,5.525544767,0.128249937,0.688908777
HORVU.MOREX.r3.6HG0568690,0.394195838,6.392434508,0.128261111,0.688908777
HORVU.MOREX.r3.3HG0299090,-0.578238412,3.073076408,0.128272928,0.688908777
HORVU.MOREX.r3.7HG0720860,0.397815848,5.104513524,0.128324553,0.688908777
HORVU.MOREX.r3.2HG0113550,0.843881447,1.22857983,0.128347516,0.688908777
HORVU.MOREX.r3.7HG0728280,-0.728933844,1.986268387,0.128357487,0.688908777
HORVU.MOREX.r3.7HG0636660,0.399100742,6.62979972,0.128555058,0.68973384
HORVU.MOREX.r3.3HG0275950,-0.718302389,2.055812175,0.128614309,0.689816467
HORVU.MOREX.r3.6HG0555690,-0.743175704,1.885595589,0.128693292,0.690004831
HORVU.MOREX.r3.6HG0572160,-0.392082022,6.304586557,0.128765927,0.690159046
HORVU.MOREX.r3.7HG0665610,0.40522239,6.876154598,0.128926567,0.690374539
HORVU.MOREX.r3.3HG0280920,0.556102385,3.229009581,0.128933054,0.690374539
HORVU.MOREX.r3.5HG0535240,0.624184481,2.73356882,0.128937791,0.690374539
HORVU.MOREX.r3.2HG0207200,-0.387183232,5.715580608,0.128995029,0.690446
HORVU.MOREX.r3.7HG0652750,-0.404334223,4.901143542,0.129047233,0.690490481
HORVU.MOREX.r3.2HG0159100,0.482653735,3.83550197,0.129176002,0.690944472
HORVU.MOREX.r3.1HG0065010,-0.65179818,2.528783711,0.129412174,0.691744372
HORVU.MOREX.r3.1HG0040860,-0.387423534,5.984123673,0.129456027,0.691744372
HORVU.MOREX.r3.4HG0340070,0.58209091,3.029914713,0.129457468,0.691744372
HORVU.MOREX.r3.6HG0539550,-0.4070096,6.962676352,0.129514788,0.691815661
HORVU.MOREX.r3.5HG0473160,0.580563988,3.041580015,0.129630796,0.692200287
HORVU.MOREX.r3.4HG0358300,0.497298412,3.698763381,0.129755016,0.692385932
HORVU.MOREX.r3.4HG0337490,-0.637337703,2.62526227,0.129770201,0.692385932
HORVU.MOREX.r3.7HG0682760,0.74076442,1.887841471,0.129797604,0.692385932
HORVU.MOREX.r3.3HG0234140,0.416590138,4.630709938,0.129960961,0.693022329
HORVU.MOREX.r3.7HG0679050,-0.568736747,3.122502099,0.130039799,0.693202954
HORVU.MOREX.r3.4HG0331260,0.392505855,5.228944464,0.130106046,0.693202954
HORVU.MOREX.r3.1HG0069030,0.386693886,5.968532046,0.130127031,0.693202954
HORVU.MOREX.r3.6HG0627980,0.404730168,4.861942905,0.130228181,0.693506946
HORVU.MOREX.r3.2HG0181470,-0.517739887,3.515303754,0.130503807,0.69460956
HORVU.MOREX.r3.4HG0399690,-0.385966163,5.926893753,0.130523543,0.69460956
HORVU.MOREX.r3.1HG0056660,0.732415501,1.930194453,0.130628269,0.694876477
HORVU.MOREX.r3.7HG0712580,0.524336109,3.458352024,0.130744988,0.694876477
HORVU.MOREX.r3.5HG0463370,0.389387592,5.338359947,0.130759263,0.694876477
HORVU.MOREX.r3.1HG0081900,0.778735678,1.615367339,0.13078022,0.694876477
HORVU.MOREX.r3.2HG0188160,-0.462565342,8.772365053,0.130803055,0.694876477
HORVU.MOREX.r3.4HG0349210,0.473853741,3.900529887,0.130843415,0.694876477
HORVU.MOREX.r3.1HG0000610,0.390503662,6.340069358,0.130937802,0.694876477
HORVU.MOREX.r3.6HG0553340,0.811522524,1.400164121,0.131006125,0.694876477
HORVU.MOREX.r3.3HG0280250,-0.708292262,2.090805736,0.131016759,0.694876477
HORVU.MOREX.r3.2HG0108020,-0.404478643,6.93276137,0.131086286,0.694876477
HORVU.MOREX.r3.3HG0293250,0.392977368,5.17463485,0.131106995,0.694876477
HORVU.MOREX.r3.1HG0083950,0.43045203,4.397149813,0.131127198,0.694876477
HORVU.MOREX.r3.7HG0743300,0.43910323,4.278992056,0.13115434,0.694876477
HORVU.MOREX.r3.4HG0394810,-0.54343327,3.302254348,0.131192114,0.694876477
HORVU.MOREX.r3.6HG0565090,-0.524297955,3.451316151,0.131285529,0.695137215
HORVU.MOREX.r3.2HG0124670,-0.448135164,4.165207356,0.131468052,0.695869424
HORVU.MOREX.r3.5HG0476390,0.391903019,5.195960237,0.131549443,0.696066021
HORVU.MOREX.r3.6HG0564470,0.614719434,2.767004873,0.13163021,0.696184424
HORVU.MOREX.r3.7HG0667880,0.398881397,4.974221723,0.131660331,0.696184424
HORVU.MOREX.r3.2HG0173700,-0.530857469,3.39416185,0.13177434,0.696553138
HORVU.MOREX.r3.5HG0533260,0.836100037,1.22827956,0.131902963,0.696998826
HORVU.MOREX.r3.3HG0254050,0.943614502,0.631675657,0.132212686,0.698400862
HORVU.MOREX.r3.7HG0681700,-0.631707056,2.63469495,0.132357879,0.698832675
HORVU.MOREX.r3.2HG0152160,-0.627841391,2.663543212,0.13238328,0.698832675
HORVU.MOREX.r3.2HG0202590,-0.423378278,7.606886335,0.13249529,0.699189336
HORVU.MOREX.r3.3HG0300410,-0.740001533,1.850897404,0.132746491,0.700280028
HORVU.MOREX.r3.1HG0068100,-0.523192621,3.444309287,0.133051752,0.701655083
HORVU.MOREX.r3.5HG0505040,-0.439265298,4.246018709,0.133120244,0.701688967
HORVU.MOREX.r3.7HG0724180,-0.863513753,1.040415002,0.133147388,0.701688967
HORVU.MOREX.r3.3HG0279260,0.393129264,6.57952633,0.133210397,0.701743412
HORVU.MOREX.r3.2HG0104560,0.400691065,4.885647634,0.133309137,0.701743412
HORVU.MOREX.r3.3HG0241660,-0.891916966,0.874318301,0.133312767,0.701743412
HORVU.MOREX.r3.2HG0133650,0.397464288,4.964597705,0.133354374,0.701743412
HORVU.MOREX.r3.2HG0197130,-0.413900694,4.614755247,0.133380764,0.701743412
HORVU.MOREX.r3.5HG0530810,0.42529228,7.703817611,0.133486505,0.702064932
HORVU.MOREX.r3.7HG0725370,0.411606487,4.651665303,0.133648063,0.702591979
HORVU.MOREX.r3.5HG0519820,-0.476972527,3.836563208,0.13367604,0.702591979
HORVU.MOREX.r3.1HG0053630,-0.762675976,1.676622173,0.133780716,0.702907298
HORVU.MOREX.r3.2HG0193060,0.418783003,7.506968099,0.133866228,0.703121747
HORVU.MOREX.r3.7HG0671710,0.384723774,5.42787911,0.133995062,0.703563526
HORVU.MOREX.r3.7HG0726610,-0.419118319,7.524648543,0.134070453,0.703724491
HORVU.MOREX.r3.2HG0111500,0.441394686,8.240269358,0.134217652,0.703926497
HORVU.MOREX.r3.1HG0052080,-0.401598765,6.947059486,0.134228964,0.703926497
HORVU.MOREX.r3.2HG0127530,0.550770125,3.212820887,0.134243182,0.703926497
HORVU.MOREX.r3.6HG0546130,0.57812302,3.003850816,0.134395079,0.704358456
HORVU.MOREX.r3.6HG0610800,-0.401189803,4.840094486,0.134415109,0.704358456
HORVU.MOREX.r3.6HG0550440,-0.383474777,6.111479147,0.134593979,0.705060902
HORVU.MOREX.r3.2HG0173680,0.402229141,4.817353656,0.134671509,0.705232194
HORVU.MOREX.r3.7HG0642740,-0.618060645,2.705667244,0.134720621,0.705254607
HORVU.MOREX.r3.5HG0485970,0.854337007,1.084255688,0.134789129,0.705378505
HORVU.MOREX.r3.6HG0590450,-0.443842986,4.166696243,0.134920253,0.705829898
HORVU.MOREX.r3.7HG0706770,0.394855275,6.730715009,0.135108188,0.706578092
HORVU.MOREX.r3.7HG0751390,-0.880100502,0.925273536,0.135189161,0.706594298
HORVU.MOREX.r3.3HG0267650,0.443829561,4.165018521,0.13523219,0.706594298
HORVU.MOREX.r3.2HG0108930,0.4471085,4.124577018,0.135264629,0.706594298
HORVU.MOREX.r3.6HG0597570,-0.953950201,0.535888935,0.135290956,0.706594298
HORVU.MOREX.r3.7HG0739190,-0.529123411,3.368613992,0.135362309,0.706732319
HORVU.MOREX.r3.3HG0283480,0.414007158,7.405925899,0.135436315,0.70680292
HORVU.MOREX.r3.1HG0046280,-0.385324576,6.302805374,0.135465692,0.70680292
HORVU.MOREX.r3.7HG0738190,-0.38378998,5.382356141,0.135585621,0.707079645
HORVU.MOREX.r3.4HG0413800,0.870367309,0.967196007,0.135608626,0.707079645
HORVU.MOREX.r3.3HG0251770,-0.816326531,1.299377336,0.135774584,0.707587815
HORVU.MOREX.r3.2HG0201190,-0.521341679,3.425500567,0.135814825,0.707587815
HORVU.MOREX.r3.5HG0436810,-0.454322341,4.040533963,0.135841027,0.707587815
HORVU.MOREX.r3.4HG0408630,0.494788456,3.649008894,0.135933785,0.707688058
HORVU.MOREX.r3.2HG0186700,-0.634071387,2.576635872,0.135950309,0.707688058
HORVU.MOREX.r3.6HG0570440,-0.440696938,4.192177768,0.135995232,0.707688058
HORVU.MOREX.r3.2HG0109530,0.447088139,4.118378774,0.136041488,0.707694659
HORVU.MOREX.r3.6HG0549330,-0.597900294,2.839195297,0.136175333,0.70808254
HORVU.MOREX.r3.2HG0214080,-0.380731987,5.997532635,0.136212444,0.70808254
HORVU.MOREX.r3.2HG0136150,0.813686976,1.303540562,0.136292062,0.70808254
HORVU.MOREX.r3.6HG0607820,-0.417393719,7.547579002,0.136324126,0.70808254
HORVU.MOREX.r3.3HG0247350,-0.838087574,1.155958731,0.136386879,0.70808254
HORVU.MOREX.r3.7HG0720730,-0.499913841,10.12834963,0.136422809,0.70808254
HORVU.MOREX.r3.7HG0704400,-0.771892981,1.579268482,0.136431135,0.70808254
HORVU.MOREX.r3.6HG0574990,0.747119514,1.751239589,0.136642578,0.70886869
HORVU.MOREX.r3.3HG0240890,-0.497336166,3.617596064,0.136673535,0.70886869
HORVU.MOREX.r3.1HG0068480,0.55117861,3.186799124,0.136717793,0.70886869
HORVU.MOREX.r3.2HG0175070,-0.602555551,2.794647445,0.136833122,0.708924699
HORVU.MOREX.r3.5HG0439240,0.429598574,4.318893666,0.136858269,0.708924699
HORVU.MOREX.r3.4HG0403360,-0.487380636,3.705013528,0.136863792,0.708924699
HORVU.MOREX.r3.5HG0502200,0.501365941,3.58207966,0.136975961,0.709272165
HORVU.MOREX.r3.5HG0457960,-0.384402467,5.275009748,0.13706992,0.709473689
HORVU.MOREX.r3.3HG0281110,0.646032993,2.471384603,0.137129333,0.709473689
HORVU.MOREX.r3.2HG0163780,0.390006886,5.063955211,0.137218962,0.709473689
HORVU.MOREX.r3.2HG0180060,-0.476829096,3.798508849,0.137313982,0.709473689
HORVU.MOREX.r3.1HG0012020,-0.383383941,6.293919098,0.137321589,0.709473689
HORVU.MOREX.r3.1HG0083370,0.383170032,6.285973566,0.137328935,0.709473689
HORVU.MOREX.r3.7HG0728000,0.379837487,6.013918593,0.137330669,0.709473689
HORVU.MOREX.r3.6HG0634000,0.511820073,3.493738279,0.137375682,0.709473689
HORVU.MOREX.r3.2HG0108630,0.394478677,4.927809103,0.137541101,0.709820324
HORVU.MOREX.r3.6HG0634120,0.382726884,5.336492754,0.137558642,0.709820324
HORVU.MOREX.r3.3HG0258280,0.378632137,5.749483756,0.137665563,0.709820324
HORVU.MOREX.r3.7HG0662450,0.817504313,1.262164632,0.137686164,0.709820324
HORVU.MOREX.r3.6HG0606940,-0.508652808,3.511321472,0.137701407,0.709820324
HORVU.MOREX.r3.5HG0529600,0.575664723,2.984397689,0.137713536,0.709820324
HORVU.MOREX.r3.1HG0050110,-0.392400535,4.978981055,0.137830326,0.710189605
HORVU.MOREX.r3.5HG0486340,-0.67391659,2.258109387,0.137906102,0.710281663
HORVU.MOREX.r3.6HG0592760,0.522882313,3.390215446,0.137953268,0.710281663
HORVU.MOREX.r3.1HG0059850,-0.387663247,5.113441942,0.13801489,0.710281663
HORVU.MOREX.r3.5HG0474330,-0.383942068,5.252228028,0.138028799,0.710281663
HORVU.MOREX.r3.2HG0175700,0.379675867,5.50721777,0.138096092,0.710364427
HORVU.MOREX.r3.2HG0175170,-0.480169685,3.756163785,0.138135197,0.710364427
HORVU.MOREX.r3.7HG0666120,-0.916434552,0.680393769,0.138490579,0.711959249
HORVU.MOREX.r3.7HG0738860,-0.381241552,6.25201467,0.13881585,0.713043697
HORVU.MOREX.r3.1HG0069410,0.386528586,6.537595632,0.138849032,0.713043697
HORVU.MOREX.r3.4HG0351080,0.48973232,3.661574196,0.138873583,0.713043697
HORVU.MOREX.r3.7HG0669320,0.877307169,0.886901656,0.13894694,0.713043697
HORVU.MOREX.r3.2HG0112900,-0.424739919,4.354510737,0.138972337,0.713043697
HORVU.MOREX.r3.3HG0232760,0.900805542,0.755522478,0.139012485,0.713043697
HORVU.MOREX.r3.7HG0641160,0.552612272,3.14819542,0.139018818,0.713043697
HORVU.MOREX.r3.1HG0029730,0.446155919,8.580956814,0.139574681,0.715661442
HORVU.MOREX.r3.3HG0239900,0.387814647,5.053921692,0.139800301,0.716218927
HORVU.MOREX.r3.2HG0194820,-0.615434885,2.665717772,0.139857178,0.716218927
HORVU.MOREX.r3.2HG0184670,-0.517890787,3.410767509,0.139857906,0.716218927
HORVU.MOREX.r3.7HG0750740,0.858471681,0.990074473,0.139865523,0.716218927
HORVU.MOREX.r3.4HG0388700,-0.705299959,2.001186941,0.139954447,0.716345061
HORVU.MOREX.r3.3HG0227090,0.684072105,2.159485795,0.140035807,0.716345061
HORVU.MOREX.r3.3HG0314270,0.924821139,0.63048787,0.140084883,0.716345061
HORVU.MOREX.r3.6HG0559400,0.61615234,2.661000127,0.140091249,0.716345061
HORVU.MOREX.r3.3HG0312460,-0.442705625,8.491301146,0.140117841,0.716345061
HORVU.MOREX.r3.2HG0166260,-0.515442543,3.427304157,0.140280905,0.716945716
HORVU.MOREX.r3.2HG0207110,-0.667331661,2.276147543,0.140466802,0.717135952
HORVU.MOREX.r3.4HG0342000,-0.847835852,1.03324625,0.140498944,0.717135952
HORVU.MOREX.r3.1HG0080790,-0.561168818,3.064702893,0.140543863,0.717135952
HORVU.MOREX.r3.4HG0402470,0.72487819,1.861383375,0.14054453,0.717135952
HORVU.MOREX.r3.4HG0411590,0.744497614,1.715898913,0.14058121,0.717135952
HORVU.MOREX.r3.4HG0335570,-0.380749146,6.328288445,0.140591652,0.717135952
HORVU.MOREX.r3.3HG0221180,0.617438976,2.637909774,0.14074818,0.717701662
HORVU.MOREX.r3.2HG0182840,0.390491975,6.784614257,0.14088499,0.718166485
HORVU.MOREX.r3.2HG0213790,0.376601463,6.047518858,0.141061008,0.718575562
HORVU.MOREX.r3.3HG0225640,-0.405115725,4.629086062,0.141086479,0.718575562
HORVU.MOREX.r3.3HG0299650,0.477539212,3.749197594,0.141104242,0.718575562
HORVU.MOREX.r3.3HG0292710,0.455068276,3.968065804,0.141147955,0.718575562
HORVU.MOREX.r3.4HG0332050,-0.549911657,3.141209358,0.141259461,0.718910571
HORVU.MOREX.r3.6HG0553080,-0.382083694,6.438640884,0.141325299,0.719013029
HORVU.MOREX.r3.2HG0170570,0.415832341,4.439112401,0.14170094,0.720518243
HORVU.MOREX.r3.6HG0546180,-0.731073937,1.789221707,0.141712761,0.720518243
HORVU.MOREX.r3.4HG0405050,0.38553515,5.061187682,0.14183515,0.720907508
HORVU.MOREX.r3.7HG0642040,0.970369563,0.395725666,0.142008547,0.721148834
HORVU.MOREX.r3.2HG0124770,-0.903470324,0.706280489,0.142010109,0.721148834
HORVU.MOREX.r3.2HG0195580,0.399147019,7.136366228,0.142020157,0.721148834
HORVU.MOREX.r3.5HG0511470,0.406666449,4.584142637,0.142103686,0.721340136
HORVU.MOREX.r3.1HG0070340,0.376631654,5.427642475,0.142329204,0.722016033
HORVU.MOREX.r3.1HG0052700,0.392783455,4.852327642,0.142353343,0.722016033
HORVU.MOREX.r3.4HG0402930,0.65213084,2.364497742,0.14237453,0.722016033
HORVU.MOREX.r3.5HG0508020,-0.420429335,4.360401923,0.142478766,0.722311782
HORVU.MOREX.r3.2HG0189970,0.590352737,2.823101962,0.142541595,0.722397495
HORVU.MOREX.r3.3HG0250330,-0.471954395,9.500982928,0.142632679,0.722626301
HORVU.MOREX.r3.2HG0161240,-0.724695334,1.817703424,0.14313289,0.72487136
HORVU.MOREX.r3.5HG0508730,0.54003728,3.202004964,0.143167969,0.72487136
HORVU.MOREX.r3.2HG0141660,-0.694459264,2.040261293,0.143271513,0.725162217
HORVU.MOREX.r3.5HG0458220,0.381707511,5.139619226,0.143358197,0.72523839
HORVU.MOREX.r3.3HG0236320,-0.556305822,3.071630868,0.143378768,0.72523839
HORVU.MOREX.r3.1HG0031520,-0.797393309,1.302232516,0.143743386,0.726479285
HORVU.MOREX.r3.6HG0600460,-0.384390594,5.038884828,0.143794812,0.726479285
HORVU.MOREX.r3.4HG0389000,-0.380824822,6.495457418,0.143811087,0.726479285
HORVU.MOREX.r3.1HG0094890,-0.520749026,3.345759566,0.143893927,0.726479285
HORVU.MOREX.r3.1HG0025720,-0.426371516,8.103478109,0.143971224,0.726479285
HORVU.MOREX.r3.2HG0113810,0.425437659,4.272007166,0.143971919,0.726479285
HORVU.MOREX.r3.1HG0081540,0.41283226,7.662316028,0.14398684,0.726479285
HORVU.MOREX.r3.5HG0501080,-0.372538958,5.821866839,0.143993542,0.726479285
HORVU.MOREX.r3.6HG0570820,-0.671194966,2.195984639,0.144123636,0.726902505
HORVU.MOREX.r3.2HG0164110,-0.381223571,6.531857238,0.144198416,0.727046563
HORVU.MOREX.r3.5HG0499000,0.375696532,5.368467587,0.144305105,0.727351364
HORVU.MOREX.r3.5HG0420080,-0.423170854,4.295959821,0.144376988,0.727480589
HORVU.MOREX.r3.4HG0408180,0.416449075,4.387321931,0.144599517,0.728368558
HORVU.MOREX.r3.5HG0519480,0.480012529,3.686523714,0.144674798,0.728514484
HORVU.MOREX.r3.4HG0392950,0.382814318,6.632609849,0.144927621,0.72955405
HORVU.MOREX.r3.4HG0412150,-0.405988833,4.544243081,0.144978318,0.729575791
HORVU.MOREX.r3.1HG0054070,-0.620537887,2.568061423,0.145081466,0.72986138
HORVU.MOREX.r3.5HG0493830,0.480539696,3.678680424,0.145129097,0.729867591
HORVU.MOREX.r3.5HG0452940,-0.398988763,4.662571261,0.145292089,0.730453773
HORVU.MOREX.r3.4HG0359960,0.442400932,4.052040569,0.14535853,0.730554323
HORVU.MOREX.r3.6HG0623620,0.376755133,6.377120206,0.145683507,0.731533485
HORVU.MOREX.r3.3HG0285710,-0.712027834,1.873539832,0.145707591,0.731533485
HORVU.MOREX.r3.7HG0742770,0.372018822,6.027148746,0.145741428,0.731533485
HORVU.MOREX.r3.2HG0125930,0.831121935,1.079827344,0.14578994,0.731533485
HORVU.MOREX.r3.2HG0118540,-0.375741114,5.290650153,0.145809664,0.731533485
HORVU.MOREX.r3.7HG0665280,-0.396650287,4.695437365,0.14583237,0.731533485
HORVU.MOREX.r3.4HG0398940,-0.775094353,1.432510085,0.14589065,0.731592544
HORVU.MOREX.r3.6HG0619010,0.425580685,4.243120879,0.145950382,0.731658848
HORVU.MOREX.r3.4HG0404850,0.372821515,5.446072891,0.146063843,0.731977986
