Name,logFC,logCPM,pvalue,FDR
HORVU.MOREX.r3.2HG0133180,-1.87288754,4.372907218,3.38E-10,7.71E-08
HORVU.MOREX.r3.5HG0509280,1.923952912,4.201830531,4.43E-10,9.96E-08
HORVU.MOREX.r3.7HG0667900,1.666871546,6.464078052,4.51E-10,9.99E-08
HORVU.MOREX.r3.5HG0460570,1.623937688,5.886334351,5.91E-10,1.27E-07
HORVU.MOREX.r3.5HG0512730,1.726456265,7.097363172,5.91E-10,1.27E-07
HORVU.MOREX.r3.6HG0560670,1.970977657,4.054143752,5.98E-10,1.27E-07
HORVU.MOREX.r3.3HG0301990,-1.6256544,6.045011259,6.15E-10,1.29E-07
HORVU.MOREX.r3.1HG0073550,-2.771854349,2.771715352,6.53E-10,1.35E-07
HORVU.MOREX.r3.7HG0751680,1.626412658,6.250260976,7.73E-10,1.58E-07
HORVU.MOREX.r3.1HG0071500,1.646086381,5.157807354,8.84E-10,1.78E-07
HORVU.MOREX.r3.2HG0208110,2.3313535,3.359015284,9.16E-10,1.82E-07
HORVU.MOREX.r3.7HG0668680,1.602948981,5.779201839,9.36E-10,1.84E-07
HORVU.MOREX.r3.3HG0302520,-2.083282207,3.752068937,1.06E-09,2.05E-07
HORVU.MOREX.r3.2HG0122140,1.618254992,6.397482564,1.19E-09,2.28E-07
HORVU.MOREX.r3.1HG0088680,-1.599480384,6.191829988,1.29E-09,2.45E-07
HORVU.MOREX.r3.7HG0744280,2.044068617,3.786297994,1.55E-09,2.90E-07
HORVU.MOREX.r3.4HG0336940,-2.962276081,2.406201791,1.88E-09,3.48E-07
HORVU.MOREX.r3.3HG0222590,2.274651275,3.330218352,2.61E-09,4.78E-07
HORVU.MOREX.r3.1HG0090520,1.887870334,4.001023982,4.08E-09,7.38E-07
HORVU.MOREX.r3.4HG0403480,1.535532484,6.065638991,4.67E-09,8.34E-07
HORVU.MOREX.r3.2HG0160240,1.52012859,5.741983712,5.91E-09,1.04E-06
HORVU.MOREX.r3.3HG0320050,1.543882068,6.463957861,6.69E-09,1.17E-06
HORVU.MOREX.r3.2HG0193650,1.514822652,5.692676234,6.75E-09,1.17E-06
HORVU.MOREX.r3.4HG0340040,2.24161543,3.265930587,6.86E-09,1.17E-06
HORVU.MOREX.r3.3HG0322130,2.492895619,2.87681169,7.05E-09,1.19E-06
HORVU.MOREX.r3.7HG0669300,2.423638588,2.973097797,7.34E-09,1.23E-06
HORVU.MOREX.r3.4HG0414340,1.548524468,6.594514079,7.74E-09,1.28E-06
HORVU.MOREX.r3.3HG0302230,1.501836637,5.482636357,1.06E-08,1.73E-06
HORVU.MOREX.r3.5HG0426410,1.524116925,5.18573786,1.11E-08,1.80E-06
HORVU.MOREX.r3.4HG0386490,1.489530819,5.742850638,1.14E-08,1.84E-06
HORVU.MOREX.r3.2HG0108680,1.502386606,5.332542799,1.29E-08,2.06E-06
HORVU.MOREX.r3.4HG0409510,1.62761777,4.545477618,1.45E-08,2.27E-06
HORVU.MOREX.r3.3HG0282170,-1.633669265,7.606231315,1.47E-08,2.27E-06
HORVU.MOREX.r3.2HG0194770,-1.519911275,5.100544884,1.47E-08,2.27E-06
HORVU.MOREX.r3.3HG0287070,1.673921531,4.377378234,1.50E-08,2.29E-06
HORVU.MOREX.r3.4HG0401170,1.513380663,6.58484151,1.59E-08,2.41E-06
HORVU.MOREX.r3.1HG0070730,-2.789814262,2.322723381,1.86E-08,2.77E-06
HORVU.MOREX.r3.1HG0087820,-1.603085301,4.585753259,1.87E-08,2.77E-06
HORVU.MOREX.r3.2HG0104760,-2.636683773,2.530905922,1.92E-08,2.78E-06
HORVU.MOREX.r3.2HG0109800,2.58980223,2.607495875,1.92E-08,2.78E-06
HORVU.MOREX.r3.3HG0319350,1.490474411,5.251874718,1.93E-08,2.78E-06
HORVU.MOREX.r3.2HG0123480,1.658995066,7.934037722,1.98E-08,2.83E-06
HORVU.MOREX.r3.1HG0000490,-2.019653592,3.513534154,2.02E-08,2.86E-06
HORVU.MOREX.r3.4HG0333220,1.528159406,4.904756037,2.32E-08,3.25E-06
HORVU.MOREX.r3.2HG0159040,2.245955131,3.094686465,2.55E-08,3.55E-06
HORVU.MOREX.r3.3HG0310480,1.558052364,4.705264809,2.66E-08,3.67E-06
HORVU.MOREX.r3.5HG0517140,1.460707066,5.382360392,2.84E-08,3.89E-06
HORVU.MOREX.r3.7HG0744260,1.453956307,5.470361266,2.92E-08,3.94E-06
HORVU.MOREX.r3.2HG0192970,2.517889644,2.651431487,2.93E-08,3.94E-06
HORVU.MOREX.r3.6HG0614510,-1.473840501,5.168972665,3.23E-08,4.31E-06
HORVU.MOREX.r3.4HG0413770,1.448075509,5.295956953,4.27E-08,5.64E-06
